@relation 'adult-weka.filters.unsupervised.attribute.Remove-V-R5-6,8,11-13,15'

@attribute education-num numeric
@attribute marital-status {Married-civ-spouse,Divorced,Never-married,Separated,Widowed,Married-spouse-absent,Married-AF-spouse}
@attribute relationship {Wife,Own-child,Husband,Not-in-family,Other-relative,Unmarried}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute class {>50K,<=50K}

@data
9,Never-married,Not-in-family,0,0,35,<=50K
13,Married-civ-spouse,Husband,0,0,40,>50K
9,Married-civ-spouse,Husband,0,0,38,<=50K
14,Divorced,Unmarried,0,0,40,<=50K
11,Married-civ-spouse,Husband,0,0,40,<=50K
11,Never-married,Not-in-family,0,0,43,<=50K
10,Married-civ-spouse,Wife,0,0,40,<=50K
9,Never-married,Own-child,0,0,30,<=50K
15,Married-civ-spouse,Wife,0,1902,60,>50K
13,Divorced,Not-in-family,0,0,55,>50K
9,Divorced,Not-in-family,0,0,60,<=50K
10,Married-civ-spouse,Husband,0,0,40,>50K
3,Married-civ-spouse,Husband,0,0,40,<=50K
11,Married-civ-spouse,Husband,0,0,40,<=50K
9,Married-civ-spouse,Husband,0,0,48,<=50K
9,Married-civ-spouse,Husband,5013,0,40,<=50K
13,Married-civ-spouse,Husband,2407,0,40,<=50K
4,Married-spouse-absent,Not-in-family,0,0,40,<=50K
9,Married-civ-spouse,Husband,0,0,40,<=50K
16,Married-civ-spouse,Husband,0,0,45,>50K
10,Divorced,Not-in-family,0,0,58,<=50K
9,Married-civ-spouse,Husband,0,0,40,<=50K
10,Divorced,Not-in-family,0,0,40,<=50K
9,Married-civ-spouse,Wife,0,0,40,>50K
10,Married-civ-spouse,Husband,0,0,50,>50K
10,Never-married,Own-child,0,0,40,<=50K
10,Never-married,Own-child,0,0,32,<=50K
13,Separated,Own-child,0,0,40,<=50K
13,Married-civ-spouse,Husband,0,0,70,>50K
10,Never-married,Not-in-family,0,0,40,<=50K
10,Married-civ-spouse,Other-relative,0,0,20,<=50K
9,Never-married,Own-child,0,0,40,<=50K
12,Married-civ-spouse,Husband,0,0,40,<=50K
6,Married-civ-spouse,Husband,0,0,2,<=50K
7,Never-married,Own-child,0,0,22,<=50K
4,Married-civ-spouse,Husband,0,0,40,<=50K
9,Never-married,Not-in-family,0,0,30,<=50K
13,Married-civ-spouse,Husband,0,0,40,<=50K
9,Married-civ-spouse,Wife,0,0,40,<=50K
9,Married-civ-spouse,Husband,0,0,48,<=50K
9,Divorced,Not-in-family,14344,0,40,>50K
9,Divorced,Own-child,0,0,35,<=50K
9,Married-civ-spouse,Husband,0,0,40,>50K
14,Married-civ-spouse,Husband,0,0,50,<=50K
5,Never-married,Not-in-family,0,0,40,<=50K
16,Never-married,Not-in-family,0,0,50,>50K
11,Married-civ-spouse,Husband,0,0,40,<=50K
10,Divorced,Unmarried,0,0,40,<=50K
10,Divorced,Unmarried,0,0,25,<=50K
9,Married-civ-spouse,Wife,0,1573,35,<=50K
13,Married-civ-spouse,Husband,0,0,40,>50K
10,Never-married,Not-in-family,0,0,50,<=50K
16,Married-civ-spouse,Husband,0,1902,60,>50K
10,Married-civ-spouse,Husband,0,0,48,>50K
12,Divorced,Unmarried,0,0,40,<=50K
9,Never-married,Own-child,0,0,40,<=50K
14,Married-civ-spouse,Husband,0,0,40,>50K
13,Married-civ-spouse,Husband,15024,0,60,>50K
14,Never-married,Not-in-family,0,0,50,<=50K
10,Never-married,Own-child,0,0,40,<=50K
9,Never-married,Not-in-family,0,0,40,<=50K
9,Married-civ-spouse,Husband,7688,0,40,>50K
6,Never-married,Own-child,34095,0,32,<=50K
7,Never-married,Own-child,0,0,40,<=50K
9,Never-married,Not-in-family,0,0,40,<=50K
9,Married-civ-spouse,Husband,0,0,40,<=50K
13,Never-married,Other-relative,0,0,40,<=50K
15,Married-civ-spouse,Husband,0,0,40,>50K
9,Married-civ-spouse,Husband,0,1887,50,>50K
10,Married-civ-spouse,Wife,4064,0,25,<=50K
9,Never-married,Own-child,0,0,40,<=50K
5,Married-civ-spouse,Husband,0,0,50,<=50K
10,Married-civ-spouse,Husband,0,0,50,<=50K
11,Married-civ-spouse,Husband,0,0,40,>50K
10,Married-civ-spouse,Husband,0,0,56,<=50K
9,Never-married,Not-in-family,0,0,41,<=50K
10,Never-married,Own-child,0,0,40,<=50K
13,Married-civ-spouse,Husband,0,0,60,<=50K
13,Never-married,Own-child,0,0,40,<=50K
13,Married-civ-spouse,Husband,0,0,50,>50K
10,Never-married,Own-child,0,0,35,<=50K
13,Married-civ-spouse,Wife,0,0,40,>50K
10,Never-married,Own-child,0,1719,28,<=50K
12,Married-civ-spouse,Husband,0,0,40,>50K
9,Married-civ-spouse,Husband,0,0,40,<=50K
10,Divorced,Not-in-family,0,0,40,<=50K
12,Never-married,Not-in-family,0,0,60,<=50K
9,Never-married,Not-in-family,0,1762,40,<=50K
9,Married-civ-spouse,Husband,4386,0,35,<=50K
13,Married-civ-spouse,Husband,0,0,50,<=50K
12,Divorced,Not-in-family,0,0,36,<=50K
14,Married-civ-spouse,Husband,0,0,40,>50K
9,Married-civ-spouse,Husband,0,0,60,<=50K
11,Married-civ-spouse,Wife,0,0,35,<=50K
10,Never-married,Own-child,0,0,20,<=50K
10,Married-civ-spouse,Husband,0,0,40,>50K
9,Married-civ-spouse,Husband,0,0,40,<=50K
10,Never-married,Own-child,0,0,40,<=50K
10,Never-married,Own-child,0,0,30,<=50K
11,Never-married,Not-in-family,0,1564,40,>50K
10,Never-married,Other-relative,0,0,40,<=50K
9,Never-married,Unmarried,0,0,30,<=50K
10,Married-civ-spouse,Husband,0,0,24,<=50K
9,Widowed,Unmarried,0,0,24,<=50K
7,Married-civ-spouse,Husband,0,2179,40,<=50K
10,Divorced,Not-in-family,0,0,40,<=50K
10,Divorced,Unmarried,0,0,38,<=50K
9,Never-married,Not-in-family,0,0,40,<=50K
13,Never-married,Other-relative,0,0,40,<=50K
9,Never-married,Own-child,0,0,35,<=50K
9,Divorced,Not-in-family,0,0,45,>50K
9,Married-civ-spouse,Husband,0,0,46,<=50K
13,Never-married,Not-in-family,0,0,40,<=50K
10,Separated,Unmarried,0,1816,2,<=50K
9,Divorced,Not-in-family,0,0,60,<=50K
13,Separated,Other-relative,0,0,50,<=50K
2,Divorced,Not-in-family,0,0,20,<=50K
9,Never-married,Unmarried,0,0,40,<=50K
14,Divorced,Unmarried,0,0,40,<=50K
9,Never-married,Not-in-family,0,0,40,<=50K
14,Married-civ-spouse,Husband,0,0,40,>50K
10,Divorced,Unmarried,0,0,40,<=50K
12,Never-married,Not-in-family,0,0,42,<=50K
14,Widowed,Unmarried,0,0,40,<=50K
7,Never-married,Own-child,0,0,16,<=50K
11,Widowed,Not-in-family,0,0,20,<=50K
9,Never-married,Not-in-family,0,1980,40,<=50K
9,Married-civ-spouse,Husband,0,0,40,<=50K
10,Married-civ-spouse,Husband,0,1977,40,>50K
13,Never-married,Not-in-family,0,0,50,<=50K
13,Married-civ-spouse,Husband,0,0,40,>50K
9,Married-spouse-absent,Unmarried,0,0,25,<=50K
9,Never-married,Own-child,0,0,40,<=50K
9,Never-married,Not-in-family,0,0,40,<=50K
9,Never-married,Own-child,0,0,12,<=50K
13,Married-civ-spouse,Husband,0,0,65,<=50K
10,Married-civ-spouse,Husband,0,0,38,>50K
10,Divorced,Not-in-family,0,0,40,<=50K
10,Never-married,Not-in-family,0,0,45,<=50K
4,Married-civ-spouse,Husband,0,0,40,>50K
10,Married-civ-spouse,Husband,0,0,42,>50K
9,Married-civ-spouse,Husband,0,0,40,<=50K
13,Divorced,Not-in-family,0,0,40,<=50K
13,Divorced,Not-in-family,0,0,50,<=50K
14,Married-civ-spouse,Wife,0,0,50,<=50K
16,Married-civ-spouse,Husband,0,0,1,>50K
10,Divorced,Not-in-family,0,0,28,<=50K
10,Married-civ-spouse,Husband,0,0,40,<=50K
13,Married-civ-spouse,Husband,0,0,40,<=50K
10,Married-civ-spouse,Husband,0,0,45,<=50K
13,Married-civ-spouse,Husband,0,0,24,<=50K
3,Married-civ-spouse,Other-relative,0,0,40,<=50K
10,Divorced,Not-in-family,0,0,40,<=50K
14,Never-married,Not-in-family,14084,0,55,>50K
14,Married-civ-spouse,Other-relative,7298,0,40,>50K
9,Never-married,Not-in-family,0,0,40,<=50K
14,Never-married,Not-in-family,0,1876,40,<=50K
9,Never-married,Own-child,0,0,40,<=50K
13,Married-civ-spouse,Husband,0,0,50,>50K
10,Never-married,Not-in-family,0,1340,40,<=50K
9,Divorced,Unmarried,0,0,35,<=50K
7,Never-married,Own-child,0,0,40,<=50K
13,Married-civ-spouse,Husband,7298,0,36,>50K
9,Divorced,Not-in-family,0,0,60,<=50K
9,Married-civ-spouse,Wife,15024,0,35,>50K
7,Never-married,Own-child,0,0,12,<=50K
9,Married-civ-spouse,Husband,0,0,40,<=50K
9,Married-civ-spouse,Husband,0,0,40,>50K
10,Never-married,Not-in-family,0,0,40,<=50K
9,Married-civ-spouse,Husband,0,0,40,<=50K
4,Married-civ-spouse,Husband,0,0,40,>50K
13,Never-married,Not-in-family,0,0,60,>50K
12,Divorced,Not-in-family,0,0,40,<=50K
13,Married-civ-spouse,Husband,0,0,50,<=50K
13,Married-civ-spouse,Husband,0,0,55,<=50K
6,Never-married,Not-in-family,0,0,40,<=50K
10,Married-civ-spouse,Husband,0,0,40,<=50K
2,Divorced,Not-in-family,0,0,40,<=50K
9,Never-married,Not-in-family,0,2206,40,<=50K
9,Married-civ-spouse,Husband,0,0,20,<=50K
1,Never-married,Not-in-family,0,0,35,<=50K
9,Never-married,Own-child,0,0,40,<=50K
6,Divorced,Not-in-family,0,0,10,<=50K
9,Married-civ-spouse,Husband,1409,0,50,<=50K
11,Widowed,Not-in-family,0,0,20,<=50K
9,Divorced,Not-in-family,0,0,40,<=50K
7,Separated,Not-in-family,3674,0,40,<=50K
9,Divorced,Unmarried,0,0,38,<=50K
10,Never-married,Not-in-family,0,0,42,<=50K
10,Divorced,Other-relative,0,0,40,<=50K
15,Never-married,Not-in-family,0,0,55,>50K
9,Married-civ-spouse,Husband,0,0,40,<=50K
10,Never-married,Not-in-family,0,0,38,<=50K
13,Married-civ-spouse,Husband,0,0,50,>50K
14,Married-civ-spouse,Husband,0,0,70,>50K
9,Never-married,Own-child,0,0,40,<=50K
13,Married-civ-spouse,Husband,0,0,40,>50K
9,Married-civ-spouse,Wife,0,0,20,<=50K
12,Married-civ-spouse,Husband,0,0,50,<=50K
10,Never-married,Own-child,0,0,20,<=50K
10,Divorced,Not-in-family,0,1741,40,<=50K
9,Married-civ-spouse,Husband,0,0,35,<=50K
9,Married-civ-spouse,Husband,0,0,45,>50K
9,Never-married,Not-in-family,0,0,34,<=50K
12,Married-civ-spouse,Husband,0,1977,60,>50K
9,Married-civ-spouse,Husband,0,0,40,<=50K
15,Married-civ-spouse,Wife,0,0,40,>50K
13,Married-civ-spouse,Wife,0,0,40,<=50K
6,Widowed,Unmarried,0,0,30,<=50K
10,Never-married,Own-child,0,0,40,<=50K
10,Never-married,Not-in-family,0,0,20,<=50K
9,Married-civ-spouse,Husband,0,0,40,>50K
9,Never-married,Own-child,0,0,40,<=50K
9,Separated,Not-in-family,0,0,30,<=50K
11,Widowed,Not-in-family,0,0,45,<=50K
4,Divorced,Not-in-family,0,0,40,<=50K
13,Divorced,Own-child,0,0,40,<=50K
9,Married-civ-spouse,Husband,0,0,60,<=50K
7,Never-married,Own-child,0,0,12,<=50K
10,Married-civ-spouse,Husband,4064,0,40,<=50K
7,Married-civ-spouse,Husband,0,0,40,<=50K
10,Married-civ-spouse,Husband,0,0,75,>50K
10,Never-married,Own-child,0,0,24,<=50K
9,Married-civ-spouse,Husband,0,0,40,>50K
13,Never-married,Not-in-family,0,0,45,<=50K
9,Married-civ-spouse,Wife,0,0,40,>50K
9,Married-civ-spouse,Husband,0,0,40,>50K
5,Never-married,Own-child,1055,0,24,<=50K
14,Married-civ-spouse,Husband,2407,0,98,<=50K
14,Never-married,Own-child,0,0,35,<=50K
9,Divorced,Own-child,0,0,40,<=50K
9,Married-civ-spouse,Husband,0,0,40,<=50K
10,Married-civ-spouse,Husband,7298,0,40,>50K
10,Never-married,Not-in-family,0,0,40,<=50K
10,Never-married,Own-child,0,0,40,<=50K
10,Married-civ-spouse,Wife,7298,0,48,>50K
13,Never-married,Not-in-family,0,0,15,<=50K
10,Married-civ-spouse,Husband,5178,0,40,>50K
12,Divorced,Unmarried,0,0,45,<=50K
13,Divorced,Not-in-family,0,0,42,<=50K
9,Never-married,Own-child,0,0,40,<=50K
14,Married-civ-spouse,Husband,15024,0,40,>50K
15,Married-civ-spouse,Husband,0,0,60,>50K
10,Divorced,Not-in-family,0,0,45,<=50K
13,Never-married,Not-in-family,0,0,40,<=50K
4,Married-civ-spouse,Husband,0,0,40,<=50K
13,Married-civ-spouse,Husband,0,0,45,<=50K
9,Divorced,Not-in-family,0,0,40,<=50K
13,Never-married,Not-in-family,0,0,56,<=50K
10,Never-married,Own-child,0,0,45,<=50K
13,Never-married,Unmarried,0,0,40,<=50K
9,Married-civ-spouse,Husband,0,0,16,<=50K
13,Divorced,Not-in-family,0,0,60,<=50K
14,Married-civ-spouse,Wife,3464,0,40,<=50K
9,Never-married,Own-child,0,0,40,<=50K
9,Divorced,Not-in-family,0,0,80,<=50K
13,Married-civ-spouse,Husband,7688,0,40,>50K
10,Never-married,Not-in-family,0,0,25,<=50K
9,Married-civ-spouse,Husband,0,0,45,>50K
9,Married-civ-spouse,Husband,4386,0,40,>50K
10,Married-civ-spouse,Wife,0,0,40,<=50K
9,Divorced,Not-in-family,0,0,40,<=50K
12,Never-married,Not-in-family,0,0,45,<=50K
12,Never-married,Not-in-family,0,0,33,<=50K
12,Married-civ-spouse,Husband,0,0,40,>50K
10,Married-civ-spouse,Husband,0,0,54,>50K
13,Never-married,Not-in-family,0,0,40,<=50K
14,Married-civ-spouse,Husband,7298,0,35,>50K
10,Never-married,Own-child,0,0,25,<=50K
13,Divorced,Not-in-family,0,0,40,>50K
10,Never-married,Own-child,0,0,15,<=50K
10,Never-married,Not-in-family,0,0,40,<=50K
10,Married-civ-spouse,Husband,0,0,40,<=50K
3,Married-civ-spouse,Other-relative,0,0,40,<=50K
10,Never-married,Not-in-family,0,0,40,<=50K
9,Widowed,Not-in-family,0,0,24,<=50K
9,Married-civ-spouse,Husband,0,0,40,<=50K
10,Married-civ-spouse,Husband,0,1485,50,<=50K
9,Divorced,Not-in-family,0,0,45,<=50K
7,Never-married,Not-in-family,0,0,40,<=50K
14,Married-civ-spouse,Husband,0,0,10,<=50K
9,Married-civ-spouse,Husband,0,0,45,<=50K
11,Never-married,Own-child,0,0,15,<=50K
10,Married-civ-spouse,Wife,0,1887,50,>50K
9,Married-civ-spouse,Husband,0,0,40,<=50K
9,Never-married,Not-in-family,2050,0,55,<=50K
10,Never-married,Not-in-family,0,0,45,<=50K
13,Never-married,Not-in-family,0,0,40,<=50K
11,Never-married,Not-in-family,0,0,40,<=50K
6,Married-civ-spouse,Husband,0,0,40,<=50K
9,Married-civ-spouse,Husband,0,0,40,<=50K
3,Never-married,Other-relative,0,0,48,<=50K
9,Never-married,Other-relative,0,0,40,<=50K
14,Never-married,Not-in-family,0,0,60,<=50K
9,Never-married,Unmarried,0,0,30,<=50K
9,Married-civ-spouse,Husband,0,0,40,<=50K
12,Never-married,Not-in-family,0,0,40,<=50K
11,Married-civ-spouse,Husband,7298,0,40,>50K
9,Married-civ-spouse,Husband,7298,0,40,>50K
9,Never-married,Not-in-family,0,0,20,<=50K
10,Never-married,Own-child,0,0,40,<=50K
13,Never-married,Not-in-family,0,0,42,<=50K
7,Married-civ-spouse,Husband,0,0,8,<=50K
11,Divorced,Unmarried,0,0,40,<=50K
12,Married-spouse-absent,Not-in-family,0,0,25,<=50K
13,Never-married,Own-child,0,0,25,<=50K
13,Married-civ-spouse,Husband,0,0,40,>50K
9,Married-civ-spouse,Husband,0,0,40,<=50K
13,Married-civ-spouse,Husband,0,0,40,>50K
7,Married-civ-spouse,Husband,0,0,30,<=50K
13,Married-civ-spouse,Husband,0,0,40,>50K
9,Married-civ-spouse,Husband,0,0,40,>50K
7,Widowed,Unmarried,0,0,40,<=50K
11,Married-civ-spouse,Husband,0,0,40,>50K
9,Married-civ-spouse,Wife,0,0,35,<=50K
5,Married-civ-spouse,Husband,0,0,40,<=50K
6,Married-civ-spouse,Wife,0,0,24,<=50K
14,Married-civ-spouse,Husband,0,0,40,>50K
13,Married-civ-spouse,Husband,0,0,45,<=50K
13,Divorced,Not-in-family,0,1564,45,>50K
9,Married-spouse-absent,Not-in-family,0,0,55,<=50K
9,Married-civ-spouse,Husband,0,0,40,<=50K
10,Married-civ-spouse,Husband,0,0,45,<=50K
12,Never-married,Not-in-family,0,0,15,<=50K
13,Divorced,Not-in-family,0,0,45,>50K
9,Divorced,Unmarried,0,0,40,<=50K
10,Never-married,Unmarried,0,0,15,<=50K
7,Never-married,Own-child,0,0,10,<=50K
11,Married-civ-spouse,Husband,0,0,38,>50K
9,Married-civ-spouse,Husband,0,0,40,<=50K
9,Never-married,Not-in-family,0,0,40,<=50K
10,Never-married,Own-child,0,0,10,<=50K
9,Married-civ-spouse,Wife,0,0,40,<=50K
10,Never-married,Not-in-family,0,0,40,<=50K
14,Divorced,Not-in-family,0,0,30,<=50K
9,Married-civ-spouse,Husband,0,0,50,<=50K
9,Divorced,Not-in-family,0,0,40,<=50K
3,Divorced,Not-in-family,0,2339,45,<=50K
10,Married-civ-spouse,Husband,0,0,40,<=50K
10,Divorced,Not-in-family,0,0,40,<=50K
10,Married-civ-spouse,Wife,0,0,40,<=50K
9,Never-married,Not-in-family,0,0,25,<=50K
9,Separated,Not-in-family,0,0,40,<=50K
10,Married-civ-spouse,Wife,0,2415,6,>50K
10,Never-married,Own-child,0,0,16,<=50K
9,Never-married,Other-relative,0,0,40,<=50K
9,Married-civ-spouse,Wife,0,0,40,>50K
13,Never-married,Not-in-family,0,0,50,<=50K
12,Separated,Not-in-family,0,0,40,<=50K
13,Married-civ-spouse,Husband,7688,0,45,>50K
9,Never-married,Not-in-family,0,0,35,<=50K
10,Married-civ-spouse,Husband,0,0,40,<=50K
10,Divorced,Unmarried,0,0,40,<=50K
9,Never-married,Other-relative,0,0,35,<=50K
13,Married-civ-spouse,Husband,0,0,55,>50K
13,Married-civ-spouse,Husband,0,0,50,>50K
10,Never-married,Own-child,0,0,40,<=50K
10,Never-married,Not-in-family,0,0,40,<=50K
13,Married-civ-spouse,Husband,0,0,40,>50K
11,Divorced,Not-in-family,0,0,64,<=50K
4,Married-civ-spouse,Husband,0,2179,40,<=50K
14,Married-civ-spouse,Husband,0,1977,65,>50K
9,Married-civ-spouse,Husband,0,0,40,<=50K
9,Married-civ-spouse,Husband,0,0,25,<=50K
10,Married-civ-spouse,Wife,0,1887,40,>50K
10,Married-civ-spouse,Husband,0,0,50,<=50K
10,Divorced,Not-in-family,0,0,24,<=50K
9,Never-married,Unmarried,0,0,40,<=50K
10,Divorced,Unmarried,0,0,40,<=50K
16,Married-civ-spouse,Husband,15024,0,60,>50K
10,Married-civ-spouse,Husband,0,0,40,<=50K
8,Divorced,Not-in-family,0,0,50,>50K
2,Married-civ-spouse,Husband,0,0,40,<=50K
7,Never-married,Own-child,0,0,19,<=50K
7,Separated,Not-in-family,0,0,40,<=50K
9,Divorced,Unmarried,0,0,40,<=50K
10,Married-civ-spouse,Husband,0,0,30,<=50K
7,Never-married,Own-child,2176,0,18,<=50K
13,Married-civ-spouse,Wife,0,0,40,>50K
9,Divorced,Not-in-family,0,0,40,<=50K
6,Never-married,Unmarried,0,0,35,<=50K
9,Married-civ-spouse,Husband,0,0,60,<=50K
14,Never-married,Not-in-family,0,1408,40,<=50K
9,Never-married,Not-in-family,0,0,72,<=50K
9,Married-civ-spouse,Husband,0,0,40,>50K
14,Married-civ-spouse,Husband,0,0,40,<=50K
9,Widowed,Not-in-family,0,0,24,<=50K
7,Never-married,Own-child,0,0,40,<=50K
13,Married-spouse-absent,Not-in-family,2174,0,40,<=50K
12,Married-civ-spouse,Wife,0,0,25,>50K
10,Never-married,Own-child,0,1980,40,<=50K
14,Married-civ-spouse,Husband,0,0,50,>50K
9,Never-married,Not-in-family,594,0,60,<=50K
10,Never-married,Not-in-family,0,0,40,<=50K
10,Married-civ-spouse,Husband,0,0,40,<=50K
10,Married-civ-spouse,Wife,0,0,40,<=50K
13,Never-married,Not-in-family,0,0,40,<=50K
9,Divorced,Not-in-family,0,0,28,<=50K
9,Never-married,Own-child,0,0,40,<=50K
10,Married-civ-spouse,Husband,0,0,40,>50K
5,Never-married,Other-relative,0,0,40,<=50K
10,Never-married,Not-in-family,0,0,35,<=50K
9,Widowed,Unmarried,0,0,40,<=50K
9,Married-civ-spouse,Husband,0,0,40,<=50K
9,Married-civ-spouse,Husband,0,0,40,<=50K
7,Never-married,Own-child,0,0,5,<=50K
9,Never-married,Own-child,0,0,40,<=50K
10,Married-civ-spouse,Husband,0,0,55,>50K
9,Married-civ-spouse,Husband,0,0,40,>50K
12,Married-civ-spouse,Husband,0,0,40,>50K
9,Married-civ-spouse,Wife,0,0,40,>50K
11,Married-civ-spouse,Husband,0,0,40,>50K
9,Married-civ-spouse,Wife,0,0,40,<=50K
10,Married-civ-spouse,Husband,0,0,50,<=50K
9,Married-civ-spouse,Husband,0,0,60,<=50K
10,Married-civ-spouse,Husband,0,0,40,<=50K
12,Never-married,Own-child,0,0,40,<=50K
9,Married-civ-spouse,Husband,0,0,40,<=50K
13,Married-civ-spouse,Husband,0,0,50,<=50K
2,Married-spouse-absent,Unmarried,0,0,40,<=50K
13,Never-married,Not-in-family,0,0,20,<=50K
9,Married-civ-spouse,Wife,0,0,60,<=50K
9,Divorced,Unmarried,0,0,40,<=50K
10,Married-civ-spouse,Husband,0,0,40,<=50K
14,Married-civ-spouse,Husband,0,1977,45,>50K
13,Married-civ-spouse,Wife,0,0,16,>50K
10,Never-married,Unmarried,0,0,40,>50K
10,Never-married,Own-child,0,0,40,<=50K
9,Never-married,Not-in-family,0,0,40,<=50K
9,Never-married,Not-in-family,0,0,60,<=50K
11,Divorced,Not-in-family,0,0,24,<=50K
13,Never-married,Not-in-family,0,0,40,<=50K
5,Never-married,Not-in-family,0,0,6,<=50K
10,Never-married,Own-child,0,0,30,<=50K
6,Never-married,Not-in-family,0,0,40,<=50K
9,Never-married,Unmarried,0,0,35,<=50K
12,Married-civ-spouse,Husband,0,0,45,<=50K
10,Married-civ-spouse,Husband,0,0,20,<=50K
13,Never-married,Not-in-family,0,0,20,<=50K
9,Married-spouse-absent,Unmarried,0,0,40,<=50K
8,Never-married,Other-relative,594,0,40,<=50K
10,Married-spouse-absent,Own-child,0,0,20,<=50K
2,Married-civ-spouse,Husband,0,0,35,<=50K
9,Married-civ-spouse,Husband,0,0,45,<=50K
13,Divorced,Unmarried,0,0,40,<=50K
13,Married-civ-spouse,Husband,15024,0,60,>50K
9,Never-married,Not-in-family,0,0,35,<=50K
9,Divorced,Not-in-family,0,0,40,<=50K
12,Never-married,Not-in-family,0,0,60,<=50K
9,Divorced,Unmarried,0,0,25,<=50K
13,Never-married,Own-child,0,0,20,<=50K
9,Divorced,Unmarried,0,0,36,<=50K
10,Never-married,Own-child,0,0,40,<=50K
3,Never-married,Own-child,0,0,40,<=50K
10,Never-married,Not-in-family,0,0,35,<=50K
9,Married-civ-spouse,Husband,0,0,20,<=50K
9,Never-married,Not-in-family,0,0,40,<=50K
9,Married-civ-spouse,Husband,0,0,40,<=50K
10,Married-civ-spouse,Husband,0,0,40,<=50K
10,Divorced,Unmarried,0,0,42,<=50K
13,Never-married,Not-in-family,0,0,40,<=50K
13,Never-married,Not-in-family,0,0,40,<=50K
10,Never-married,Own-child,0,0,8,<=50K
10,Married-civ-spouse,Husband,0,0,40,<=50K
9,Separated,Unmarried,0,0,40,<=50K
9,Divorced,Unmarried,0,0,40,<=50K
11,Married-spouse-absent,Unmarried,0,1380,42,<=50K
3,Widowed,Unmarried,0,0,30,<=50K
11,Never-married,Not-in-family,0,0,45,<=50K
10,Married-civ-spouse,Husband,0,0,50,>50K
9,Divorced,Not-in-family,0,0,45,<=50K
11,Widowed,Unmarried,0,0,38,<=50K
10,Never-married,Not-in-family,0,0,20,<=50K
10,Never-married,Own-child,0,0,24,<=50K
10,Never-married,Unmarried,0,0,35,<=50K
13,Married-civ-spouse,Husband,0,0,50,>50K
13,Married-civ-spouse,Husband,15024,0,80,>50K
9,Married-civ-spouse,Husband,7688,0,50,>50K
10,Divorced,Not-in-family,0,0,50,<=50K
10,Married-civ-spouse,Husband,0,0,45,>50K
10,Divorced,Unmarried,0,0,58,>50K
10,Married-civ-spouse,Wife,0,0,40,<=50K
13,Married-civ-spouse,Husband,0,0,40,>50K
10,Divorced,Not-in-family,0,0,9,<=50K
9,Married-civ-spouse,Husband,0,0,50,<=50K
14,Married-civ-spouse,Husband,0,0,40,<=50K
7,Divorced,Unmarried,0,0,46,<=50K
